mean dn,std dev dn,mean n,std dev n,mean dp,std dev dp,mean p,std dev p,mean e,std dev e,dn,n,dndegen,ndegen,dp,p,e,eb,t,mue,nb,yp,k,cost,k,cost,phi
8.638035866199724e-07,0.0,3.4154369615786985e-06,3.753448004921428e-08,4.5253749603606497e-08,3.604582756842021e-08,2.0903951471059146e-07,1.203302099774464e-07,5.549789364508788e-09,4.568331075395113e-11,8.808234622097879e-07,3.1214123534836098e-06,4.8646869181085336e-05,0.0026705782086253156,2.4261137251003482e-08,1.0569565291527371e-07,6.134837252616797e-09,0.14668262593411682,0.18449727139578492,-1.0026457701577198,0.00028247991635463977,0.028361190359759703,0.16065325297141736,-0.8837798786580828,0.13134109219061657,0.7498379607462518,0.83786223536206
1.3992349915786897e-05,0.0,4.0343176243596645e-05,3.484183717357975e-07,1.2696169210421518e-05,7.491499907404825e-06,6.79971102678868e+62,2.1433621639587747e+63,3.738222629481042e-08,2.4278351224175643e-10,1.2970961409484614e-05,3.5098407341456066e-05,4.990610819156318e-05,0.0029437768366351764,4.640501025459067e-06,1.2081046793604019e-05,5.646391469550704e-08,0.017540761006368286,0.19198315903619778,0.043094029012453995,0.004169111646538451,0.28640167594412025,0.16065325297141736,-0.8837798786580828,0.13134109219061657,0.7498379607462518,0.83786223536206
5.499020488382396e-09,0.0,2.848489561995925e-07,1.7714375849238489e-09,4.700665945523511e-09,4.379881931665211e-09,1.294758192122311e-05,3.5247061981385597e-05,1.0667090601637526e-08,1.1386308992369824e-10,3.763249269137772e-09,2.789322949141094e-07,3.409170048803388e-05,0.002055769781642586,1.0647029760930561e-10,1.390934719947982e-07,2.0803142345510185e-08,0.03172364438832448,0.14879634836065486,-0.6702733977368993,1.8491551176664676e-05,0.3631864127021954,0.22466292521116205,0.5910523479285246,0.10296551461283782,-0.18855922750761023,2.9605177191862992
2.502309835961506e-07,0.0,6.862493082216274e-06,6.519043261408256e-08,1.881012229034444e-08,9.422268243239738e-09,4.27727745796175e-07,1.1168849831488282e-07,5.458041951580519e-08,6.505450545863094e-10,2.03719110851577e-07,6.6415860183816484e-06,3.9414641871187195e-05,0.0033109190795620673,1.965360737888366e-09,1.993216436492995e-07,4.566664362029242e-08,0.14668262593411682,0.18449727139578492,-1.0026457701577198,0.00028247991635463977,0.028361190359759703,0.22466292521116205,0.5910523479285246,0.10296551461283782,-0.18855922750761023,2.9605177191862992
1.8113750332833377e-06,0.0,7.598971731448328e-05,6.877350196466664e-07,1.0600986324621544e-06,7.493139138425125e-07,5.548027392596027e+62,1.7534958436418676e+63,3.622602267029333e-07,3.443115733245165e-09,1.328348095538372e-06,6.943673684799944e-05,4.043781166991909e-05,0.0036258682616191733,1.3895089236785015e-08,2.3613230514752044e-05,1.672080907592835e-06,0.017540761006368286,0.19198315903619778,0.043094029012453995,0.004169111646538451,0.28640167594412025,0.22466292521116205,0.5910523479285246,0.10296551461283782,-0.18855922750761023,2.9605177191862992
2.2930728104947075e-09,0.0,2.5853860181144136e-08,2.4965605621444967e-10,1.5679046395849498e-09,1.9983307516595236e-09,1.3916071369186515e-08,7.93823926266338e-09,4.50109872197446e-09,2.902619388302288e-11,3.2124202862584853e-09,2.2300072804251107e-08,4.1361772511007175e-05,0.0010392559565848983,7.721400367137006e-11,1.1379531099666801e-08,4.025045700010353e-09,0.03172364438832448,0.14879634836065486,-0.6702733977368993,1.8491551176664676e-05,0.3631864127021954,0.06357656829900155,-0.23162730397675757,0.16818376285318942,0.8343360445968218,2.2604343727702165
4.030450272840701e-07,0.0,7.803515088218348e-07,4.044125945363031e-09,2.623876358108241e-08,1.2880023655045953e-08,4.333868186947433e-08,2.5453017039162018e-08,1.74590263087331e-08,9.27605193897168e-11,4.6570187851927215e-07,6.678756920639119e-07,5.5280716511490215e-05,0.001868633206926093,5.548889622352454e-09,2.306511017548695e-08,1.2942803343722209e-08,0.14668262593411682,0.18449727139578492,-1.0026457701577198,0.00028247991635463977,0.028361190359759703,0.06357656829900155,-0.23162730397675757,0.16818376285318942,0.8343360445968218,2.2604343727702165
1.1275092448127748e-06,0.0,6.944089948081781e-06,9.677874638030257e-08,8.564135183527583e-07,7.335451668359505e-07,1.3326121003747808e+62,3.143327185301724e+62,1.691021801156718e-07,2.4261762165487677e-09,1.4687676055827347e-06,5.549216079379011e-06,5.82030397154087e-05,0.0020853780837807607,3.5876369206983934e-08,1.9034439680295107e-06,1.6380933199387894e-07,0.017540761006368286,0.19198315903619778,0.043094029012453995,0.004169111646538451,0.28640167594412025,0.06357656829900155,-0.23162730397675757,0.16818376285318942,0.8343360445968218,2.2604343727702165
7.384716044723977e-10,0.0,1.242368211207156e-07,4.2861993171652485e-09,2.815081858792001e-11,3.497766004448464e-11,inf,inf,3.9094504706351074e-10,3.4731850998698694e-12,1.102682334320553e-09,9.161789539269882e-08,8.363416014060052e-05,0.003035127293791268,5.022884279941292e-12,2.5196957750745747e-09,2.660214066500489e-10,0.0062336850702767975,0.23038453622206884,-1.1348046459992158,0.00042881612815543873,0.031760736667533096,0.02173680295916447,-0.2086961966568981,0.20518360395459917,0.8765253827311739,5.756437788747917
1.879995049350145e-36,0.0,7.96327505682583e-07,6.201037904767052e-09,1.1228138159255834e-39,1.8654408143596588e-39,2.947310637073008e-07,1.0125113851798531e-07,1.3283102505824582e-09,2.0826112451609345e-11,3.977524588572052e-35,7.507364847780454e-07,1.3605913007457827e-07,8.558571261761287e-06,1.2460712744652645e-41,2.1729098268645628e-07,1.2015480817889185e-09,0.0046166822189790315,0.027715015522416564,2.149459084585614,0.006229298935056154,0.24194768914440157,0.02173680295916447,-0.2086961966568981,0.20518360395459917,0.8765253827311739,5.756437788747917
